[2016-05-21 12:39:24.982417]; Init ; Opening COM port ;
[2016-05-21 12:39:25.000864]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 12:39:25.003866]; buildUI ; ; 
[2016-05-21 12:39:25.109403]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 12:39:25.113424]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 12:39:25.114407]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 12:39:25.118409]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 12:39:25.119411]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 12:39:25.122425]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 12:39:36.365287]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x01\x11Z')
[2016-05-21 12:39:36.369290]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x01\x11Z')
[2016-05-21 12:39:36.370291]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x02\x12Z')
[2016-05-21 12:39:36.373293]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x02\x12Z')
[2016-05-21 12:39:36.376294]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x04\x14Z')
[2016-05-21 12:39:36.379296]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x04\x14Z')
[2016-05-21 12:39:36.408317]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x05\x15Z')
[2016-05-21 12:39:36.411319]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x05\x15Z')
[2016-05-21 12:39:36.416322]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x06\x16Z')
[2016-05-21 12:39:36.421326]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x06\x16Z')
[2016-05-21 12:39:36.443341]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x07\x17Z')
[2016-05-21 12:39:36.449009]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x07\x17Z')
[2016-05-21 12:39:36.497051]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\x08\x18Z')
[2016-05-21 12:39:36.502822]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\x08\x18Z')
[2016-05-21 12:39:36.647924]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x01\n\x1aZ')
[2016-05-21 12:39:36.652928]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x01\n\x1aZ')
[2016-05-21 12:39:38.965568]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x01\x12Z')
[2016-05-21 12:39:38.973571]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x01\x12Z')
[2016-05-21 12:39:38.975573]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x04\x17Z')
[2016-05-21 12:39:38.981569]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x04\x17Z')
[2016-05-21 12:39:38.986573]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:39:38.989574]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:39:38.993578]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:39:39.000572]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:39:39.002575]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x05\x16Z')
[2016-05-21 12:39:39.009994]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x05\x16Z')
[2016-05-21 12:39:39.015998]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:39:39.020001]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:39:39.065031]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x06\x15Z')
[2016-05-21 12:39:39.070043]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x06\x15Z')
[2016-05-21 12:39:39.077054]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:39:39.082044]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:28.445728]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x07\x14Z')
[2016-05-21 12:40:28.451734]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x07\x14Z')
[2016-05-21 12:40:28.460739]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:28.463742]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:28.894042]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x06\x15Z')
[2016-05-21 12:40:28.900047]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x06\x15Z')
[2016-05-21 12:40:28.908860]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x05\x16Z')
[2016-05-21 12:40:28.911862]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:28.915867]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:28.923548]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x05\x16Z')
[2016-05-21 12:40:28.925550]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x04\x17Z')
[2016-05-21 12:40:28.931553]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x04\x17Z')
[2016-05-21 12:40:28.936566]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:28.939558]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:28.943562]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:28.950566]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x02\x11Z')
[2016-05-21 12:40:28.952887]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:28.957892]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x02\x11Z')
[2016-05-21 12:40:28.964896]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:28.971902]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:28.973904]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x01\x01\x12Z')
[2016-05-21 12:40:28.979906]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x01\x01\x12Z')
[2016-05-21 12:40:28.988930]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:28.992916]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:29.011930]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 12:40:29.017933]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 12:40:29.024951]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:29.028941]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 12:40:30.181749]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x01\x13Z')
[2016-05-21 12:40:30.190756]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x01\x13Z')
[2016-05-21 12:40:30.192757]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x02\x10Z')
[2016-05-21 12:40:30.198763]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x02\x10Z')
[2016-05-21 12:40:30.204340]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x04\x16Z')
[2016-05-21 12:40:30.207352]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 12:40:30.216349]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x05\x17Z')
[2016-05-21 12:40:30.219352]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
