[2016-05-04 00:44:21.815625]; Opening COM port
[2016-05-04 00:44:21.827876]; Main application started
[2016-05-04 00:44:21.840911]; buildUI
[2016-05-04 00:44:21.944959]; done
[2016-05-04 00:44:21.948961]; ReceiveUART ; 
[2016-05-04 00:44:21.957968]; PopCmd ; QueueEmpty
[2016-05-04 00:44:22.973547]; ReceiveUART ; 
[2016-05-04 00:44:22.986552]; PopCmd ; QueueEmpty
[2016-05-04 00:44:24.009732]; ReceiveUART ; 
[2016-05-04 00:44:24.033721]; PopCmd ; QueueEmpty
[2016-05-04 00:44:25.061903]; ReceiveUART ; 
[2016-05-04 00:44:25.088640]; PopCmd ; QueueEmpty
[2016-05-04 00:44:26.127639]; ReceiveUART ; 
[2016-05-04 00:44:26.148629]; PopCmd ; QueueEmpty
[2016-05-04 00:44:27.181696]; ReceiveUART ; 
[2016-05-04 00:44:27.199701]; PopCmd ; QueueEmpty
[2016-05-04 00:44:28.219117]; ReceiveUART ; 
[2016-05-04 00:44:28.234367]; PopCmd ; QueueEmpty
[2016-05-04 00:44:29.247400]; ReceiveUART ; 
[2016-05-04 00:44:29.255407]; PopCmd ; QueueEmpty
[2016-05-04 00:44:30.275342]; ReceiveUART ; 
[2016-05-04 00:44:30.298387]; PopCmd ; QueueEmpty
[2016-05-04 00:44:31.331657]; ReceiveUART ; 
[2016-05-04 00:44:31.356653]; PopCmd ; QueueEmpty
[2016-05-04 00:44:32.384676]; ReceiveUART ; 
[2016-05-04 00:44:32.400709]; PopCmd ; QueueEmpty
[2016-05-04 00:44:33.427214]; ReceiveUART ; 
[2016-05-04 00:44:33.451232]; PopCmd ; QueueEmpty
[2016-05-04 00:44:34.479834]; ReceiveUART ; 
[2016-05-04 00:44:34.505874]; PopCmd ; QueueEmpty
[2016-05-04 00:44:35.523802]; ReceiveUART ; 
[2016-05-04 00:44:35.529806]; PopCmd ; QueueEmpty
[2016-05-04 00:44:36.539994]; ReceiveUART ; 
[2016-05-04 00:44:36.545967]; PopCmd ; QueueEmpty
[2016-05-04 00:44:37.565207]; ReceiveUART ; 
[2016-05-04 00:44:37.594255]; PopCmd ; QueueEmpty
[2016-05-04 00:44:38.612470]; ReceiveUART ; 
[2016-05-04 00:44:38.621478]; PopCmd ; QueueEmpty
[2016-05-04 00:44:39.649575]; ReceiveUART ; 
[2016-05-04 00:44:39.673591]; PopCmd ; QueueEmpty
[2016-05-04 00:44:40.695204]; ReceiveUART ; 
[2016-05-04 00:44:40.712209]; PopCmd ; QueueEmpty
[2016-05-04 00:44:41.737592]; ReceiveUART ; 
[2016-05-04 00:44:41.762622]; PopCmd ; QueueEmpty
[2016-05-04 00:44:42.788541]; ReceiveUART ; 
[2016-05-04 00:44:42.806532]; PopCmd ; QueueEmpty
[2016-05-04 00:44:43.825840]; ReceiveUART ; 
[2016-05-04 00:44:43.834833]; PopCmd ; QueueEmpty
[2016-05-04 00:44:44.851612]; ReceiveUART ; 
[2016-05-04 00:44:44.871626]; PopCmd ; QueueEmpty
[2016-05-04 00:44:45.903233]; ReceiveUART ; 
[2016-05-04 00:44:45.928229]; PopCmd ; QueueEmpty
[2016-05-04 00:44:46.950213]; ReceiveUART ; 
[2016-05-04 00:44:46.957213]; PopCmd ; QueueEmpty
[2016-05-04 00:44:47.974846]; ReceiveUART ; 
[2016-05-04 00:44:47.999887]; PopCmd ; QueueEmpty
[2016-05-04 00:44:49.029861]; ReceiveUART ; 
[2016-05-04 00:44:49.056880]; PopCmd ; QueueEmpty
[2016-05-04 00:44:50.087523]; ReceiveUART ; 
[2016-05-04 00:44:50.117563]; PopCmd ; QueueEmpty
[2016-05-04 00:44:51.134790]; ReceiveUART ; 
[2016-05-04 00:44:51.141795]; PopCmd ; QueueEmpty
[2016-05-04 00:44:52.161808]; ReceiveUART ; 
[2016-05-04 00:44:52.188828]; PopCmd ; QueueEmpty
[2016-05-04 00:44:53.220077]; ReceiveUART ; 
[2016-05-04 00:44:53.270521]; PopCmd ; QueueEmpty
[2016-05-04 00:44:54.296635]; ReceiveUART ; 
[2016-05-04 00:44:54.317667]; PopCmd ; QueueEmpty
[2016-05-04 00:44:55.345073]; ReceiveUART ; 
[2016-05-04 00:44:55.369107]; PopCmd ; QueueEmpty
[2016-05-04 00:44:56.394735]; ReceiveUART ; 
[2016-05-04 00:44:56.418725]; PopCmd ; QueueEmpty
[2016-05-04 00:44:57.486841]; ReceiveUART ; 
[2016-05-04 00:44:57.511859]; PopCmd ; QueueEmpty
