[2016-05-04 00:22:55.491253]; Main application started
[2016-05-04 00:22:55.495256]; buildUI
[2016-05-04 00:22:55.697541]; done
[2016-05-04 00:22:55.702549]; ReceiveUART ; 
[2016-05-04 00:22:55.707549]; PopCmd ; QueueEmpty
[2016-05-04 00:22:56.717120]; ReceiveUART ; 
[2016-05-04 00:22:56.721122]; PopCmd ; QueueEmpty
[2016-05-04 00:22:57.728021]; ReceiveUART ; 
[2016-05-04 00:22:57.731023]; PopCmd ; QueueEmpty
[2016-05-04 00:22:58.739035]; ReceiveUART ; 
[2016-05-04 00:22:58.744039]; PopCmd ; QueueEmpty
[2016-05-04 00:22:59.754770]; ReceiveUART ; 
[2016-05-04 00:22:59.757783]; PopCmd ; QueueEmpty
[2016-05-04 00:23:00.765720]; ReceiveUART ; 
[2016-05-04 00:23:00.768724]; PopCmd ; QueueEmpty
