[2016-05-21 17:17:36.579896]; Init ; Opening COM port ;
[2016-05-21 17:17:36.587902]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 17:17:36.589903]; buildUI ; ; 
[2016-05-21 17:17:36.691676]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 17:17:36.694691]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 17:17:36.697962]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 17:17:37.205100]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 17:17:37.726977]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 17:17:38.234848]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 17:17:38.242847]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:17:38.249859]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 17:17:38.755264]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:17:38.758265]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 17:17:39.965396]; PushCmd ; inData ; bytearray(b'\xa5\x028\x01;Z')
[2016-05-21 17:17:40.267091]; SendCmds ; command ; bytearray(b'\xa5\x028\x01;Z')
[2016-05-21 17:17:40.773506]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:17:40.778509]; PopCmd ; command ; bytearray(b'\x028\x01;')
[2016-05-21 17:17:41.501287]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:41.800102]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:42.305089]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:17:42.309091]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 17:17:42.540020]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:42.849536]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:43.357660]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:17:43.363664]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 17:17:43.573957]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:43.880070]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:44.390785]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:17:44.400791]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 17:17:44.605424]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:44.913731]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:17:45.423173]; PushCmd ; dataIn ; cmdAvailable
