[2016-05-21 13:42:47.327221]; Init ; Opening COM port ;
[2016-05-21 13:42:47.327221]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 13:42:47.342856]; buildUI ; ; 
[2016-05-21 13:42:47.467843]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:47.467843]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:42:47.467843]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:42:47.483472]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:42:47.983535]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:47.983535]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:48.499151]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:42:48.514720]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:49.026166]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:42:49.041744]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:49.041744]; PopCmd ; command ; bytearray(b'\x02\x13\x01\x10')
[2016-05-21 13:42:49.057388]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:49.558158]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:42:49.558158]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:49.558158]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 13:42:49.558158]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:50.071812]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:50.071812]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:50.087374]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 13:42:50.087374]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:50.637513]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:50.637513]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:50.653127]; PopCmd ; command ; bytearray(b'\x04!\x00\x00_z')
[2016-05-21 13:42:50.653127]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:51.159353]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:51.174949]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:51.174949]; PopCmd ; command ; bytearray(b'\x04!\x01\x00\x8e\xaa')
[2016-05-21 13:42:51.190545]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:51.703837]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:51.719462]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:51.735088]; PopCmd ; command ; bytearray(b'\x04!\x01\x00tP')
[2016-05-21 13:42:51.750712]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:52.250774]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:52.250774]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:52.266337]; PopCmd ; command ; bytearray(b'\x04!\x01\x00Y}')
[2016-05-21 13:42:52.266337]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:52.771051]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:52.771051]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:52.786621]; PopCmd ; command ; bytearray(b'\x04!\x01\x00tP')
[2016-05-21 13:42:52.786621]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:53.297725]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:53.313331]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:53.313331]; PopCmd ; command ; bytearray(b'\x04!\x01\x00Y}')
[2016-05-21 13:42:53.313331]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:53.825939]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:53.841527]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:53.857152]; PopCmd ; command ; bytearray(b'\x04!\x01\x00$\x00')
[2016-05-21 13:42:53.857152]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:54.372767]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:54.372767]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:54.372767]; PopCmd ; command ; bytearray(b'\x04!\x01\x00?\x1b')
[2016-05-21 13:42:54.372767]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:54.873592]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:54.889192]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:54.904785]; PopCmd ; command ; bytearray(b'\x04!\x00\x00y\\')
[2016-05-21 13:42:54.904785]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:55.404802]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:55.404802]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:55.404802]; PopCmd ; command ; bytearray(b'\x04!\x00\x00\x105')
[2016-05-21 13:42:55.404802]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:55.915982]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:55.931604]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:55.947235]; PopCmd ; command ; bytearray(b'\x04!\x01\x00\xa8\x8c')
[2016-05-21 13:42:55.947235]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:56.447959]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:56.447959]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:56.447959]; PopCmd ; command ; bytearray(b'\x04!\x00\x00\x105')
[2016-05-21 13:42:56.447959]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:56.960732]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:56.976349]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:56.992002]; PopCmd ; command ; bytearray(b'\x04!\x00\x00_z')
[2016-05-21 13:42:57.007628]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:57.512395]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:57.512395]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:57.512395]; PopCmd ; command ; bytearray(b'\x04!\x01\x00$\x00')
[2016-05-21 13:42:57.512395]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:58.020937]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:58.036501]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:58.052125]; PopCmd ; command ; bytearray(b'\x04!\x01\x00$\x00')
[2016-05-21 13:42:58.052125]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:58.557437]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:58.557437]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:58.557437]; PopCmd ; command ; bytearray(b'\x04!\x00\x00\xc8\xed')
[2016-05-21 13:42:58.557437]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:59.057496]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:59.073070]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:59.088719]; PopCmd ; command ; bytearray(b'\x04!\x01\x00tP')
[2016-05-21 13:42:59.104342]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:59.605423]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:42:59.605423]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:42:59.605423]; PopCmd ; command ; bytearray(b'\x04!\x01\x00\xf8\xdc')
[2016-05-21 13:42:59.605423]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:00.105427]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:00.121031]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:43:00.136676]; PopCmd ; command ; bytearray(b'\x04!\x00\x00y\\')
[2016-05-21 13:43:00.152302]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:00.653531]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:00.669113]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:43:00.684714]; PopCmd ; command ; bytearray(b'\x04!\x00\x00\xc8\xed')
[2016-05-21 13:43:00.684714]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:01.190683]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:01.206267]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:43:01.206267]; PopCmd ; command ; bytearray(b'\x04!\x01\x00$\x00')
[2016-05-21 13:43:01.221872]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:01.735545]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:01.736665]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:43:01.767918]; PopCmd ; command ; bytearray(b'\x04!\x01\x00?\x1b')
[2016-05-21 13:43:01.783571]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:02.299173]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:43:02.299173]; PushCmd ; dataIn ; cmdAvailable
