[2016-05-21 17:12:46.806341]; Init ; Opening COM port ;
[2016-05-21 17:12:46.837612]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 17:12:46.841940]; buildUI ; ; 
[2016-05-21 17:12:46.951118]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 17:12:46.955122]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 17:12:46.956184]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 17:12:47.476665]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 17:12:47.997881]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 17:12:48.523678]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 17:12:48.526681]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:12:48.529691]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 17:12:49.051073]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:12:49.061107]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 17:12:50.004703]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:12:50.114404]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:12:50.623688]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:12:50.626688]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 17:12:51.186556]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:12:51.638503]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:12:52.157823]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:12:52.159824]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 17:12:53.805794]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 17:12:54.228709]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 17:12:54.760491]; PushCmd ; dataIn ; cmdAvailable
