[2016-05-04 00:21:07.481125]; PopCmd ; QueueEmpty
[2016-05-04 00:21:08.489229]; ReceiveUART ; 
[2016-05-04 00:21:08.494233]; PopCmd ; QueueEmpty
[2016-05-04 00:21:09.505630]; ReceiveUART ; 
[2016-05-04 00:21:09.508606]; PopCmd ; QueueEmpty
[2016-05-04 00:21:10.522429]; ReceiveUART ; 
[2016-05-04 00:21:10.527436]; PopCmd ; QueueEmpty
[2016-05-04 00:21:11.535649]; ReceiveUART ; 
[2016-05-04 00:21:11.541667]; PopCmd ; QueueEmpty
[2016-05-04 00:21:12.548802]; ReceiveUART ; 
[2016-05-04 00:21:12.553806]; PopCmd ; QueueEmpty
[2016-05-04 00:21:13.563091]; ReceiveUART ; 
[2016-05-04 00:21:13.567081]; PopCmd ; QueueEmpty
[2016-05-04 00:21:14.579817]; ReceiveUART ; 
[2016-05-04 00:21:14.582820]; PopCmd ; QueueEmpty
[2016-05-04 00:21:15.592884]; ReceiveUART ; 
[2016-05-04 00:21:15.595888]; PopCmd ; QueueEmpty
[2016-05-04 00:21:16.606917]; ReceiveUART ; 
[2016-05-04 00:21:16.610920]; PopCmd ; QueueEmpty
[2016-05-04 00:21:17.625048]; ReceiveUART ; 
[2016-05-04 00:21:17.630035]; PopCmd ; QueueEmpty
[2016-05-04 00:21:18.644129]; ReceiveUART ; 
[2016-05-04 00:21:18.650114]; PopCmd ; QueueEmpty
[2016-05-04 00:21:19.663418]; ReceiveUART ; 
[2016-05-04 00:21:19.666421]; PopCmd ; QueueEmpty
[2016-05-04 00:21:20.674243]; ReceiveUART ; 
[2016-05-04 00:21:20.678246]; PopCmd ; QueueEmpty
[2016-05-04 00:21:21.688572]; ReceiveUART ; 
[2016-05-04 00:21:21.691576]; PopCmd ; QueueEmpty
[2016-05-04 00:21:22.700797]; ReceiveUART ; 
[2016-05-04 00:21:22.703800]; PopCmd ; QueueEmpty
[2016-05-04 00:21:23.712106]; ReceiveUART ; 
[2016-05-04 00:21:23.715109]; PopCmd ; QueueEmpty
[2016-05-04 00:21:24.729309]; ReceiveUART ; 
[2016-05-04 00:21:24.734312]; PopCmd ; QueueEmpty
[2016-05-04 00:21:25.744435]; ReceiveUART ; 
[2016-05-04 00:21:25.747437]; PopCmd ; QueueEmpty
[2016-05-04 00:21:26.760244]; ReceiveUART ; 
[2016-05-04 00:21:26.763247]; PopCmd ; QueueEmpty
[2016-05-04 00:21:27.775815]; ReceiveUART ; 
[2016-05-04 00:21:27.779818]; PopCmd ; QueueEmpty
[2016-05-04 00:21:28.789631]; ReceiveUART ; 
[2016-05-04 00:21:28.792634]; PopCmd ; QueueEmpty
[2016-05-04 00:21:29.805476]; ReceiveUART ; 
[2016-05-04 00:21:29.808477]; PopCmd ; QueueEmpty
[2016-05-04 00:21:30.819576]; ReceiveUART ; 
