[2016-05-04 00:48:37.461173]; Opening COM port
[2016-05-04 00:48:37.478155]; Main application started
[2016-05-04 00:48:37.498021]; buildUI
[2016-05-04 00:48:37.637184]; done
[2016-05-04 00:48:37.642187]; ReceiveUART ; 
[2016-05-04 00:48:37.648191]; PopCmd ; QueueEmpty
[2016-05-04 00:48:38.657210]; ReceiveUART ; 
[2016-05-04 00:48:38.663214]; PopCmd ; QueueEmpty
[2016-05-04 00:48:39.678490]; ReceiveUART ; 
[2016-05-04 00:48:39.693502]; PopCmd ; QueueEmpty
[2016-05-04 00:48:40.727875]; ReceiveUART ; 
[2016-05-04 00:48:40.751911]; PopCmd ; QueueEmpty
[2016-05-04 00:48:41.768573]; ReceiveUART ; 
[2016-05-04 00:48:41.790586]; PopCmd ; QueueEmpty
[2016-05-04 00:48:42.819417]; ReceiveUART ; 
[2016-05-04 00:48:42.847437]; PopCmd ; QueueEmpty
[2016-05-04 00:48:43.875773]; ReceiveUART ; 
[2016-05-04 00:48:43.902807]; PopCmd ; QueueEmpty
[2016-05-04 00:48:44.921943]; ReceiveUART ; 
[2016-05-04 00:48:44.945960]; PopCmd ; QueueEmpty
[2016-05-04 00:48:45.976767]; ReceiveUART ; 
[2016-05-04 00:48:46.001779]; PopCmd ; QueueEmpty
[2016-05-04 00:48:47.024844]; ReceiveUART ; 
[2016-05-04 00:48:47.051884]; PopCmd ; QueueEmpty
[2016-05-04 00:48:48.073803]; ReceiveUART ; 
[2016-05-04 00:48:48.103825]; PopCmd ; QueueEmpty
[2016-05-04 00:48:49.127863]; ReceiveUART ; 
[2016-05-04 00:48:49.153886]; PopCmd ; QueueEmpty
[2016-05-04 00:48:50.185124]; ReceiveUART ; 
[2016-05-04 00:48:50.207112]; PopCmd ; QueueEmpty
[2016-05-04 00:48:51.233335]; ReceiveUART ; 
[2016-05-04 00:48:51.256339]; PopCmd ; QueueEmpty
[2016-05-04 00:48:52.280796]; ReceiveUART ; 
[2016-05-04 00:48:52.305775]; PopCmd ; QueueEmpty
[2016-05-04 00:48:53.331506]; ReceiveUART ; 
[2016-05-04 00:48:53.357878]; PopCmd ; QueueEmpty
[2016-05-04 00:48:54.387163]; ReceiveUART ; 
[2016-05-04 00:48:54.401153]; PopCmd ; QueueEmpty
[2016-05-04 00:48:55.431097]; ReceiveUART ; 
[2016-05-04 00:48:55.454132]; PopCmd ; QueueEmpty
[2016-05-04 00:48:56.480970]; ReceiveUART ; 
[2016-05-04 00:48:56.498978]; PopCmd ; QueueEmpty
[2016-05-04 00:48:57.521025]; ReceiveUART ; 
[2016-05-04 00:48:57.549052]; PopCmd ; QueueEmpty
[2016-05-04 00:48:58.567418]; ReceiveUART ; 
[2016-05-04 00:48:58.575426]; PopCmd ; QueueEmpty
[2016-05-04 00:48:59.591644]; ReceiveUART ; 
[2016-05-04 00:48:59.599646]; PopCmd ; QueueEmpty
[2016-05-04 00:49:00.618001]; ReceiveUART ; 
[2016-05-04 00:49:00.630890]; PopCmd ; QueueEmpty
[2016-05-04 00:49:01.644763]; ReceiveUART ; 
[2016-05-04 00:49:01.651768]; PopCmd ; QueueEmpty
[2016-05-04 00:49:02.663213]; ReceiveUART ; 
[2016-05-04 00:49:02.672220]; PopCmd ; QueueEmpty
[2016-05-04 00:49:03.696301]; ReceiveUART ; 
[2016-05-04 00:49:03.721295]; PopCmd ; QueueEmpty
[2016-05-04 00:49:04.745293]; ReceiveUART ; 
[2016-05-04 00:49:04.760100]; PopCmd ; QueueEmpty
[2016-05-04 00:49:05.773258]; ReceiveUART ; 
[2016-05-04 00:49:05.781255]; PopCmd ; QueueEmpty
[2016-05-04 00:49:06.804284]; ReceiveUART ; 
[2016-05-04 00:49:06.830299]; PopCmd ; QueueEmpty
[2016-05-04 00:49:07.870730]; ReceiveUART ; 
[2016-05-04 00:49:07.897728]; PopCmd ; QueueEmpty
[2016-05-04 00:49:08.917787]; ReceiveUART ; 
[2016-05-04 00:49:08.931811]; PopCmd ; QueueEmpty
[2016-05-04 00:49:09.963435]; ReceiveUART ; 
[2016-05-04 00:49:09.983446]; PopCmd ; QueueEmpty
[2016-05-04 00:49:10.997341]; ReceiveUART ; 
[2016-05-04 00:49:11.006333]; PopCmd ; QueueEmpty
[2016-05-04 00:49:12.075614]; ReceiveUART ; 
[2016-05-04 00:49:12.081619]; PopCmd ; QueueEmpty
