[2016-05-04 00:16:52.542177]; Main application started
[2016-05-04 00:16:52.544188]; buildUI
[2016-05-04 00:16:52.683371]; done
[2016-05-04 00:16:52.688363]; ReceiveUART ; 
[2016-05-04 00:16:52.695368]; PopCmd ; QueueEmpty
[2016-05-04 00:16:53.703087]; ReceiveUART ; 
[2016-05-04 00:16:53.705103]; PopCmd ; QueueEmpty
[2016-05-04 00:16:54.714889]; ReceiveUART ; 
[2016-05-04 00:16:54.718836]; PopCmd ; QueueEmpty
[2016-05-04 00:16:55.725548]; ReceiveUART ; 
[2016-05-04 00:16:55.727550]; PopCmd ; QueueEmpty
[2016-05-04 00:16:56.736632]; ReceiveUART ; 
[2016-05-04 00:16:56.739635]; PopCmd ; QueueEmpty
[2016-05-04 00:16:57.747665]; ReceiveUART ; 
[2016-05-04 00:16:57.750681]; PopCmd ; QueueEmpty
[2016-05-04 00:16:58.762465]; ReceiveUART ; 
[2016-05-04 00:16:58.764467]; PopCmd ; QueueEmpty
[2016-05-04 00:16:59.773450]; ReceiveUART ; 
[2016-05-04 00:16:59.775450]; PopCmd ; QueueEmpty
[2016-05-04 00:17:00.787422]; ReceiveUART ; 
[2016-05-04 00:17:00.790428]; PopCmd ; QueueEmpty
[2016-05-04 00:17:01.795999]; ReceiveUART ; 
[2016-05-04 00:17:01.798990]; PopCmd ; QueueEmpty
[2016-05-04 00:17:02.808259]; ReceiveUART ; 
[2016-05-04 00:17:02.811257]; PopCmd ; QueueEmpty
[2016-05-04 00:17:03.821945]; ReceiveUART ; 
[2016-05-04 00:17:03.824959]; PopCmd ; QueueEmpty
[2016-05-04 00:17:04.835343]; ReceiveUART ; 
[2016-05-04 00:17:04.838335]; PopCmd ; QueueEmpty
[2016-05-04 00:17:05.874999]; ReceiveUART ; 
[2016-05-04 00:17:05.879004]; PopCmd ; QueueEmpty
[2016-05-04 00:17:06.890161]; ReceiveUART ; 
[2016-05-04 00:17:06.897159]; PopCmd ; QueueEmpty
