[2016-05-21 16:08:49.023813]; Init ; Opening COM port ;
[2016-05-21 16:08:49.028816]; Init ; COM port could not be opened, no UART communication available! ; 
[2016-05-21 16:08:49.039821]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 16:08:49.041821]; buildUI ; ; 
[2016-05-21 16:08:49.152219]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:08:49.152219]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:08:49.152219]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:08:49.672113]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:08:50.209207]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:08:50.723297]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:09:00.815004]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:01.261764]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:04.086131]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:09:04.290590]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:09:10.832164]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:11.361707]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:14.481207]; PushCmd ; inData ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:09:14.900367]; SendCmds ; command ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:09:17.216206]; PushCmd ; inData ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:09:17.428762]; SendCmds ; command ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:09:22.174288]; PushCmd ; inData ; bytearray(b'\xa5\x0176Z')
[2016-05-21 16:09:22.174288]; PushCmd ; inData ; bytearray(b'\xa5\x0176Z')
[2016-05-21 16:09:22.494119]; SendCmds ; command ; bytearray(b'\xa5\x0176Z')
[2016-05-21 16:09:23.008724]; SendCmds ; command ; bytearray(b'\xa5\x0176Z')
[2016-05-21 16:09:25.418635]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:25.524049]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:28.975813]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:29.075788]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:30.543066]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:30.582043]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:31.926305]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:32.088718]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:09:36.178694]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:09:36.629511]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
