[2016-05-21 16:10:35.077695]; Init ; Opening COM port ;
[2016-05-21 16:10:35.080696]; Init ; COM port could not be opened, no UART communication available! ; 
[2016-05-21 16:10:35.087701]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 16:10:35.089702]; buildUI ; ; 
[2016-05-21 16:10:35.330821]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:10:35.334836]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:10:35.336887]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:10:35.664460]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:10:36.174331]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:10:36.687288]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:10:57.795988]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:10:58.247996]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:11:02.996247]; PushCmd ; inData ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:11:03.308898]; SendCmds ; command ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:11:05.429957]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:11:05.848291]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:11:07.097345]; PushCmd ; inData ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:11:07.428199]; SendCmds ; command ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:11:08.583896]; PushCmd ; inData ; bytearray(b'\xa5\x0176Z')
[2016-05-21 16:11:09.003439]; SendCmds ; command ; bytearray(b'\xa5\x0176Z')
[2016-05-21 16:47:51.437006]; PushCmd ; inData ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:51.440023]; PushCmd ; inData ; bytearray(b'\xa5\x022\x14$Z')
[2016-05-21 16:47:51.463055]; PushCmd ; inData ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:51.466055]; PushCmd ; inData ; bytearray(b'\xa5\x022\x16&Z')
[2016-05-21 16:47:51.468056]; PushCmd ; inData ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:51.472051]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1a*Z')
[2016-05-21 16:47:51.478022]; PushCmd ; inData ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:51.483026]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1e.Z')
[2016-05-21 16:47:51.487029]; PushCmd ; inData ; bytearray(b'\xa5\x021"\x11Z')
[2016-05-21 16:47:51.491044]; PushCmd ; inData ; bytearray(b'\xa5\x022"\x12Z')
[2016-05-21 16:47:51.495047]; PushCmd ; inData ; bytearray(b'\xa5\x021!\x12Z')
[2016-05-21 16:47:51.499050]; PushCmd ; inData ; bytearray(b'\xa5\x022(\x18Z')
[2016-05-21 16:47:51.504050]; PushCmd ; inData ; bytearray(b'\xa5\x021\x1f,Z')
[2016-05-21 16:47:51.507042]; PushCmd ; inData ; bytearray(b'\xa5\x022.\x1eZ')
[2016-05-21 16:47:51.511046]; PushCmd ; inData ; bytearray(b'\xa5\x021\x1d.Z')
[2016-05-21 16:47:51.517049]; PushCmd ; inData ; bytearray(b'\xa5\x0224\x04Z')
[2016-05-21 16:47:51.520051]; PushCmd ; inData ; bytearray(b'\xa5\x021\x1b(Z')
[2016-05-21 16:47:51.524054]; PushCmd ; inData ; bytearray(b'\xa5\x0228\x08Z')
[2016-05-21 16:47:51.527056]; PushCmd ; inData ; bytearray(b'\xa5\x021\x19*Z')
[2016-05-21 16:47:51.530057]; PushCmd ; inData ; bytearray(b'\xa5\x022<\x0cZ')
[2016-05-21 16:47:51.534070]; PushCmd ; inData ; bytearray(b'\xa5\x021\x18+Z')
[2016-05-21 16:47:51.537063]; PushCmd ; inData ; bytearray(b'\xa5\x022>\x0eZ')
[2016-05-21 16:47:51.540066]; PushCmd ; inData ; bytearray(b'\xa5\x021\x17$Z')
[2016-05-21 16:47:51.544089]; PushCmd ; inData ; bytearray(b'\xa5\x022@pZ')
[2016-05-21 16:47:51.549072]; PushCmd ; inData ; bytearray(b'\xa5\x021\x16%Z')
[2016-05-21 16:47:51.552073]; PushCmd ; inData ; bytearray(b'\xa5\x022BrZ')
[2016-05-21 16:47:51.557077]; PushCmd ; inData ; bytearray(b'\xa5\x021\x16%Z')
[2016-05-21 16:47:51.560079]; PushCmd ; inData ; bytearray(b'\xa5\x022DtZ')
[2016-05-21 16:47:51.565092]; PushCmd ; inData ; bytearray(b'\xa5\x021\x15&Z')
[2016-05-21 16:47:51.568096]; PushCmd ; inData ; bytearray(b'\xa5\x022EuZ')
[2016-05-21 16:47:51.573088]; PushCmd ; inData ; bytearray(b'\xa5\x021\x15&Z')
[2016-05-21 16:47:51.578092]; PushCmd ; inData ; bytearray(b'\xa5\x022FvZ')
[2016-05-21 16:47:51.583095]; PushCmd ; inData ; bytearray(b"\xa5\x021\x14\'Z")
[2016-05-21 16:47:51.586098]; PushCmd ; inData ; bytearray(b'\xa5\x022HxZ')
[2016-05-21 16:47:51.590100]; PushCmd ; inData ; bytearray(b"\xa5\x021\x14\'Z")
[2016-05-21 16:47:51.594104]; PushCmd ; inData ; bytearray(b'\xa5\x022IyZ')
[2016-05-21 16:47:51.598118]; PushCmd ; inData ; bytearray(b"\xa5\x021\x14\'Z")
[2016-05-21 16:47:51.601109]; PushCmd ; inData ; bytearray(b'\xa5\x022K{Z')
[2016-05-21 16:47:51.604110]; PushCmd ; inData ; bytearray(b'\xa5\x021\x13 Z')
[2016-05-21 16:47:51.607112]; PushCmd ; inData ; bytearray(b'\xa5\x022L|Z')
[2016-05-21 16:47:51.610113]; PushCmd ; inData ; bytearray(b'\xa5\x021\x13 Z')
[2016-05-21 16:47:51.614116]; PushCmd ; inData ; bytearray(b'\xa5\x022N~Z')
[2016-05-21 16:47:51.618120]; PushCmd ; inData ; bytearray(b'\xa5\x021\x13 Z')
[2016-05-21 16:47:51.622134]; PushCmd ; inData ; bytearray(b'\xa5\x022N~Z')
[2016-05-21 16:47:51.627182]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.632173]; PushCmd ; inData ; bytearray(b'\xa5\x022O\x7fZ')
[2016-05-21 16:47:51.641181]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.645184]; PushCmd ; inData ; bytearray(b'\xa5\x022P`Z')
[2016-05-21 16:47:51.651185]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.654200]; PushCmd ; inData ; bytearray(b'\xa5\x022P`Z')
[2016-05-21 16:47:51.659192]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.663196]; PushCmd ; inData ; bytearray(b'\xa5\x022QaZ')
[2016-05-21 16:47:51.667210]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.671212]; PushCmd ; inData ; bytearray(b'\xa5\x022QaZ')
[2016-05-21 16:47:51.676214]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.681207]; PushCmd ; inData ; bytearray(b'\xa5\x022RbZ')
[2016-05-21 16:47:51.686220]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.691214]; PushCmd ; inData ; bytearray(b'\xa5\x022RbZ')
[2016-05-21 16:47:51.699233]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.702240]; PushCmd ; inData ; bytearray(b'\xa5\x022ScZ')
[2016-05-21 16:47:51.708201]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.711193]; PushCmd ; inData ; bytearray(b'\xa5\x022TdZ')
[2016-05-21 16:47:51.714195]; PushCmd ; inData ; bytearray(b'\xa5\x021\x12!Z')
[2016-05-21 16:47:51.717197]; PushCmd ; inData ; bytearray(b'\xa5\x022UeZ')
[2016-05-21 16:47:51.723201]; PushCmd ; inData ; bytearray(b'\xa5\x021\x13 Z')
[2016-05-21 16:47:51.726203]; PushCmd ; inData ; bytearray(b'\xa5\x022WgZ')
[2016-05-21 16:47:51.731206]; PushCmd ; inData ; bytearray(b'\xa5\x021\x13 Z')
[2016-05-21 16:47:51.734208]; PushCmd ; inData ; bytearray(b'\xa5\x022YiZ')
[2016-05-21 16:47:51.739212]; PushCmd ; inData ; bytearray(b'\xa5\x021\x13 Z')
[2016-05-21 16:47:51.741214]; PushCmd ; inData ; bytearray(b'\xa5\x022[kZ')
[2016-05-21 16:47:51.952994]; SendCmds ; command ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:52.465181]; SendCmds ; command ; bytearray(b'\xa5\x022\x14$Z')
[2016-05-21 16:47:52.976962]; SendCmds ; command ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:53.027706]; PushCmd ; inData ; bytearray(b'\xa5\x021\x17$Z')
[2016-05-21 16:47:53.033706]; PushCmd ; inData ; bytearray(b'\xa5\x022M}Z')
[2016-05-21 16:47:53.040715]; PushCmd ; inData ; bytearray(b'\xa5\x021\x13 Z')
[2016-05-21 16:47:53.046715]; PushCmd ; inData ; bytearray(b'\xa5\x022@pZ')
[2016-05-21 16:47:53.056726]; PushCmd ; inData ; bytearray(b'\xa5\x021\x0b8Z')
[2016-05-21 16:47:53.064736]; PushCmd ; inData ; bytearray(b'\xa5\x022&\x16Z')
[2016-05-21 16:47:53.485498]; SendCmds ; command ; bytearray(b'\xa5\x022\x16&Z')
[2016-05-21 16:47:53.994106]; SendCmds ; command ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:54.500036]; SendCmds ; command ; bytearray(b'\xa5\x022\x1a*Z')
[2016-05-21 16:47:55.131882]; SendCmds ; command ; bytearray(b'\xa5\x021#\x10Z')
[2016-05-21 16:47:55.679589]; SendCmds ; command ; bytearray(b'\xa5\x022\x1e.Z')
[2016-05-21 16:47:56.224576]; SendCmds ; command ; bytearray(b'\xa5\x021"\x11Z')
