[2016-05-21 13:45:16.373423]; Init ; Opening COM port ;
[2016-05-21 13:45:16.404693]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 13:45:16.404693]; buildUI ; ; 
[2016-05-21 13:45:16.525897]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:16.525897]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:45:16.525897]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:45:16.525897]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:45:17.040379]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:17.055947]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:17.556005]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:45:17.571574]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:18.072612]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:45:18.072612]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:45:18.072612]; PopCmd ; command ; bytearray(b'\x02\x13\x01\x10')
[2016-05-21 13:45:18.072612]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:18.589198]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:45:18.589198]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:45:18.604822]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 13:45:18.604822]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:19.111653]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:19.111653]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:45:19.111653]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 13:45:19.111653]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:19.612724]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:19.612724]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:20.128283]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:20.128283]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:20.643917]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:20.643917]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:21.145649]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:21.145649]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:21.645713]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:21.661286]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:22.174400]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:22.189998]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:22.702408]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:22.716448]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:23.219587]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:23.235159]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:23.743503]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:23.759100]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:24.259157]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:24.274754]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:24.782717]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:24.782717]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:25.293576]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:25.316653]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:25.818086]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:25.818086]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:26.318130]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:26.333685]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:26.834717]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:26.834717]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:27.337420]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:27.352984]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:27.929530]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:27.929530]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:28.439972]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:28.455546]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:28.957041]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:28.957041]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:29.457092]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:29.472666]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:29.982227]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:29.982227]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:30.482227]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:30.497843]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:31.009245]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:31.009245]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:31.509301]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:31.509301]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:32.016870]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:32.032447]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:32.533219]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:32.557115]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:33.069912]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:33.069912]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:33.581550]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:33.597153]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:34.112753]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:34.112753]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:34.613415]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:34.629040]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:35.132183]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:35.132183]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:35.637633]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:35.637633]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:36.138658]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:36.154286]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:36.654283]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:36.654283]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:37.155028]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:37.170626]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:37.670684]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:37.686260]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:38.196562]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:38.212205]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:38.722505]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:38.726974]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:39.227621]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:39.243228]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:39.752678]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:39.768304]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:40.272740]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:40.288365]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:40.803971]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:40.803971]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:41.303980]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:41.303980]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:41.816270]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:41.816270]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:42.329456]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:42.345015]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:42.845499]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:42.861105]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:43.362533]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:43.378131]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:43.890407]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:43.906003]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:44.421606]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:44.421606]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:44.931061]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:44.946708]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:45.462328]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:45.477937]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:45.979249]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:45.994826]; PushCmd ; inData ; bytearray(b'\xa5\x01" Z')
[2016-05-21 13:45:46.510441]; SendCmds ; command ; bytearray(b'\xa5\x01" Z')
