[2016-05-21 16:48:58.266827]; Init ; Opening COM port ;
[2016-05-21 16:48:58.276819]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 16:48:58.279821]; buildUI ; ; 
[2016-05-21 16:48:58.386897]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:48:58.390899]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:48:58.394902]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:48:58.899779]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:48:59.405329]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:48:59.915578]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:48:59.920580]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:48:59.923586]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 16:49:00.428139]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:49:00.431127]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 16:49:04.539977]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:49:04.944522]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:49:05.447917]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:49:05.449905]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:49:08.686939]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:49:08.990639]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:49:09.492704]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:49:09.495720]; PopCmd ; command ; bytearray(b'\x025\x016')
[2016-05-21 16:49:12.004895]; PushCmd ; inData ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:49:12.508580]; SendCmds ; command ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:49:13.012739]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:49:13.015743]; PopCmd ; command ; bytearray(b'\x024\x017')
[2016-05-21 16:50:38.714967]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:50:39.122800]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:50:39.643326]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:50:39.665107]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:50:40.773120]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:50:41.176371]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:50:41.681592]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:50:41.685593]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:50:45.200534]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:50:45.704221]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:50:46.234706]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:50:46.242692]; PopCmd ; command ; bytearray(b'\x025\x016')
[2016-05-21 16:51:07.521585]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:07.653909]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:07.768177]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:07.798244]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:07.939458]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:08.142358]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:08.273061]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:08.278060]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:08.280069]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:08.284055]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:51:08.790358]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:08.794363]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:08.797367]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:51:09.302455]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:09.311462]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:09.318466]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:51:09.822818]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:09.826821]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:09.829823]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:51:10.335254]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:10.339246]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:10.342245]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:51:10.846232]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:10.850256]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:51:52.390852]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:52.893136]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:51:53.398195]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:53.401201]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:51:57.820541]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:51:57.922027]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:51:58.426357]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:51:58.431359]; PopCmd ; command ; bytearray(b'\x025\x016')
