[2016-05-21 16:06:58.521145]; Init ; Opening COM port ;
[2016-05-21 16:06:58.525148]; Init ; COM port could not be opened, no UART communication available! ; 
[2016-05-21 16:06:58.533154]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 16:06:58.535261]; buildUI ; ; 
[2016-05-21 16:06:58.654460]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:06:58.659456]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:06:58.662447]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:06:59.113423]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:06:59.624821]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:07:00.140951]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:07:14.502111]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:07:14.716220]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:07:17.011898]; PushCmd ; inData ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:07:17.221783]; SendCmds ; command ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:07:27.295710]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:07:27.739766]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:07:31.277561]; PushCmd ; inData ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:31.794593]; SendCmds ; command ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:35.293040]; PushCmd ; inData ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:35.302031]; SendCmds ; command ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:47.604007]; PushCmd ; inData ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:47.826718]; SendCmds ; command ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:49.929211]; PushCmd ; inData ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:50.355910]; SendCmds ; command ; bytearray(b'\xa5\x0167Z')
[2016-05-21 16:07:55.011043]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:07:55.419354]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:07:57.822920]; PushCmd ; inData ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:07:57.956184]; SendCmds ; command ; bytearray(b'\xa5\x0145Z')
[2016-05-21 16:07:59.728165]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:07:59.977249]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:08:04.106376]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:08:04.518955]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:08:06.166668]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:08:06.575648]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
