[2016-05-21 16:58:16.821791]; Init ; Opening COM port ;
[2016-05-21 16:58:16.842785]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 16:58:16.848789]; buildUI ; ; 
[2016-05-21 16:58:16.978880]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:58:16.983883]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:58:16.986886]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:58:17.491765]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:58:17.995966]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:58:18.506012]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:58:18.518025]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:58:18.527024]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 16:58:19.035319]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:58:19.040343]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 16:58:19.143351]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:19.546375]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:20.049416]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:58:20.053411]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:58:20.561079]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:21.064404]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:21.567363]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:58:21.570365]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:58:22.879738]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:23.080045]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:23.584490]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:58:23.586479]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:58:24.820303]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:25.121177]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:25.628824]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:58:25.633827]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:58:27.646313]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:28.147489]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:58:28.652754]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:58:28.657756]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:59:22.460480]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:22.762233]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:23.267425]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:59:23.270425]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:59:24.615739]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:24.816926]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:25.321052]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:59:25.325056]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:59:26.932328]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:27.334592]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:27.838616]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:59:27.841619]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:59:29.256065]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:29.359049]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:29.866608]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:59:29.873593]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:59:31.111051]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:31.414149]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:31.918934]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:59:31.923924]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:59:33.734136]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:33.940221]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:59:34.446934]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:59:34.450937]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 17:07:45.955574]; PushCmd ; inData ; bytearray(b'\xa5\x0176Z')
[2016-05-21 17:07:46.461491]; SendCmds ; command ; bytearray(b'\xa5\x0176Z')
[2016-05-21 17:07:46.966273]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 17:07:46.970276]; PopCmd ; command ; bytearray(b'\x027\x014')
[2016-05-21 17:09:09.631029]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:09:10.054749]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 17:09:10.559897]; PushCmd ; dataIn ; cmdAvailable
