[2016-05-19 15:42:45.741233]; Init ; Opening COM port ;
[2016-05-19 15:42:45.756836]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-19 15:42:45.756836]; buildUI ; ; 
[2016-05-19 15:42:46.070429]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 15:42:46.070429]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 15:42:46.070429]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 15:42:46.070429]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 15:42:46.086062]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 15:42:46.086062]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 15:42:47.207072]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.207072]; PushCmd ; inData ; bytearray(b'\xa5\x0223\x03Z')
[2016-05-19 15:42:47.207072]; SendCmds ; command ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.207072]; SendCmds ; command ; bytearray(b'\xa5\x0223\x03Z')
[2016-05-19 15:42:47.207072]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.222674]; PushCmd ; inData ; bytearray(b'\xa5\x0222\x02Z')
[2016-05-19 15:42:47.222674]; SendCmds ; command ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.222674]; SendCmds ; command ; bytearray(b'\xa5\x0222\x02Z')
[2016-05-19 15:42:47.238293]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.253939]; PushCmd ; inData ; bytearray(b'\xa5\x0222\x02Z')
[2016-05-19 15:42:47.253939]; SendCmds ; command ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.269556]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.269556]; SendCmds ; command ; bytearray(b'\xa5\x0222\x02Z')
[2016-05-19 15:42:47.285174]; PushCmd ; inData ; bytearray(b'\xa5\x0221\x01Z')
[2016-05-19 15:42:47.300766]; SendCmds ; command ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.316409]; SendCmds ; command ; bytearray(b'\xa5\x0221\x01Z')
[2016-05-19 15:42:47.332026]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.347643]; PushCmd ; inData ; bytearray(b'\xa5\x022.\x1eZ')
[2016-05-19 15:42:47.347643]; SendCmds ; command ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.378877]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.378877]; SendCmds ; command ; bytearray(b'\xa5\x022.\x1eZ')
[2016-05-19 15:42:47.394486]; PushCmd ; inData ; bytearray(b'\xa5\x022-\x1dZ')
[2016-05-19 15:42:47.394486]; SendCmds ; command ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.394486]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 15:42:47.410104]; SendCmds ; command ; bytearray(b'\xa5\x022-\x1dZ')
