[2016-05-21 16:54:56.114521]; Init ; Opening COM port ;
[2016-05-21 16:54:56.123529]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 16:54:56.126530]; buildUI ; ; 
[2016-05-21 16:54:56.248615]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:54:56.254620]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:54:56.260623]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:54:56.708088]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:54:57.211931]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:54:57.727593]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:54:57.738606]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:54:57.748608]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 16:54:58.255682]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:54:58.261686]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 16:54:59.970239]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:00.273064]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:00.778078]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:00.781068]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:02.229575]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:02.331912]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:02.835270]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:02.838260]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:04.444076]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:04.848602]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:05.352975]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:05.355986]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:05.658937]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:05.862009]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:06.366270]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:06.370274]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:06.873429]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:07.376566]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:07.881193]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:07.886184]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:08.036196]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:08.439939]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:08.951083]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:08.961087]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:10.370444]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:10.472976]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:10.979500]; PushCmd ; inData ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:10.981500]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:10.986503]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:11.489654]; SendCmds ; command ; bytearray(b'\xa5\x0132Z')
[2016-05-21 16:55:11.993174]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:11.997178]; PopCmd ; command ; bytearray(b'\x023\x010')
[2016-05-21 16:55:13.806621]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:55:14.007405]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:55:14.511914]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:14.517935]; PopCmd ; command ; bytearray(b'\x025\x016')
[2016-05-21 16:55:17.432556]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:55:17.535695]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:55:18.039622]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:55:18.043639]; PopCmd ; command ; bytearray(b'\x025\x016')
[2016-05-21 16:56:23.201593]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:56:23.620261]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:56:24.126297]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:56:24.132298]; PopCmd ; command ; bytearray(b'\x025\x016')
[2016-05-21 16:56:26.046838]; PushCmd ; inData ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:56:26.149643]; SendCmds ; command ; bytearray(b'\xa5\x0154Z')
[2016-05-21 16:56:26.654110]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 16:56:26.658115]; PopCmd ; command ; bytearray(b'\x025\x016')
