[2016-05-21 16:02:53.323410]; Init ; Opening COM port ;
[2016-05-21 16:02:53.327412]; Init ; COM port could not be opened, no UART communication available! ; 
[2016-05-21 16:02:53.334417]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 16:02:53.336418]; buildUI ; ; 
[2016-05-21 16:02:53.477959]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:53.511983]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:02:53.513984]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:02:53.516987]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:02:54.024636]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:54.025635]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:54.557135]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 16:02:54.559137]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:55.076265]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 16:02:55.079248]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:55.590600]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 16:02:55.590600]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:56.127344]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:56.138347]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:56.643001]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:56.649986]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:57.160951]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:57.165966]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:57.678712]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:57.684717]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:58.191774]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:58.196756]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 16:02:58.706320]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
