[2016-05-21 13:47:09.077069]; Init ; Opening COM port ;
[2016-05-21 13:47:09.092694]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 13:47:09.092694]; buildUI ; ; 
[2016-05-21 13:47:09.217694]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:09.217694]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:47:09.217694]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:47:09.217694]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:47:09.726646]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:09.735624]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:10.236912]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:47:10.236912]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:10.746169]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:47:10.761813]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:10.777438]; PopCmd ; command ; bytearray(b'\x02\x13\x01\x10')
[2016-05-21 13:47:10.793065]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:11.307438]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:47:11.307438]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:11.307438]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 13:47:11.307438]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:11.808305]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:11.823905]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:11.823905]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 13:47:11.839531]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:12.355166]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:12.355166]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:12.355166]; PopCmd ; command ; bytearray(b'\x04"\x01\x00$\x03')
[2016-05-21 13:47:12.355166]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:12.870709]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:12.886290]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:12.901896]; PopCmd ; command ; bytearray(b'\x04"\x01\x00$\x03')
[2016-05-21 13:47:12.917542]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:13.493776]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:13.509382]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:13.509382]; PopCmd ; command ; bytearray(b'\x04"\x00\x00Db')
[2016-05-21 13:47:13.525025]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:14.031308]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:14.046890]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:14.046890]; PopCmd ; command ; bytearray(b'\x04"\x01\x00Y~')
[2016-05-21 13:47:14.062514]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:14.578134]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:14.578134]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:14.593742]; PopCmd ; command ; bytearray(b'\x04"\x01\x00?\x18')
[2016-05-21 13:47:14.593742]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:15.100614]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:15.100614]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:15.100614]; PopCmd ; command ; bytearray(b'\x04"\x00\x00y_')
[2016-05-21 13:47:15.100614]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:15.600647]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:15.616271]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:15.616271]; PopCmd ; command ; bytearray(b'\x04"\x01\x00\xdd\xfa')
[2016-05-21 13:47:15.616271]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:16.127706]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:16.143277]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:16.158901]; PopCmd ; command ; bytearray(b'\x04"\x00\x00\x106')
[2016-05-21 13:47:16.158901]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:16.660308]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:16.660308]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:16.675931]; PopCmd ; command ; bytearray(b'\x04"\x01\x00$\x03')
[2016-05-21 13:47:16.675931]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:17.203185]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:17.218811]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:17.234436]; PopCmd ; command ; bytearray(b'\x04"\x01\x00\n-')
[2016-05-21 13:47:17.234436]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:17.743188]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:17.743188]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:17.743188]; PopCmd ; command ; bytearray(b'\x04"\x00\x00\xc8\xee')
[2016-05-21 13:47:17.743188]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:18.257877]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:18.257877]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:18.273494]; PopCmd ; command ; bytearray(b'\x04"\x00\x00\x106')
[2016-05-21 13:47:18.273494]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:18.773552]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:18.773552]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:18.773552]; PopCmd ; command ; bytearray(b'\x04"\x01\x00tS')
[2016-05-21 13:47:18.773552]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:19.273554]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:19.289128]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:19.304754]; PopCmd ; command ; bytearray(b'\x04"\x01\x00tS')
[2016-05-21 13:47:19.304754]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:19.804807]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:19.804807]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:19.820393]; PopCmd ; command ; bytearray(b'\x04"\x00\x00*\x0c')
[2016-05-21 13:47:19.836028]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:20.339738]; SendCmds ; command ; bytearray(b'\xa5\x01"#Z')
[2016-05-21 13:47:20.355334]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:47:20.370960]; PopCmd ; command ; bytearray(b'\x04"\x01\x01,\n')
[2016-05-21 13:47:20.386586]; PushCmd ; inData ; bytearray(b'\xa5\x01"#Z')
