[2016-05-21 13:41:50.003204]; Init ; Opening COM port ;
[2016-05-21 13:41:50.018829]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-21 13:41:50.018829]; buildUI ; ; 
[2016-05-21 13:41:50.143867]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:41:50.143867]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:41:50.143867]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:41:50.143867]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:41:50.644971]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:41:50.660528]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:41:51.164949]; SendCmds ; command ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-21 13:41:51.180598]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:41:51.681771]; SendCmds ; command ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-21 13:41:51.681771]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:41:51.681771]; PopCmd ; command ; bytearray(b'\x02\x13\x01\x10')
[2016-05-21 13:41:51.681771]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:41:52.185209]; SendCmds ; command ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-21 13:41:52.185209]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:41:52.200833]; PopCmd ; command ; bytearray(b'\x02\x12\x01\x11')
[2016-05-21 13:41:52.200833]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:41:52.709290]; SendCmds ; command ; bytearray(b'\xa5\x01! Z')
[2016-05-21 13:41:52.710629]; PushCmd ; dataIn ; cmdAvailable
[2016-05-21 13:41:52.726284]; PopCmd ; command ; bytearray(b'\x02\x11\x01\x12')
[2016-05-21 13:41:52.726284]; PushCmd ; inData ; bytearray(b'\xa5\x01! Z')
