[2016-05-19 13:13:44.745755]; Init ; Opening COM port ;
[2016-05-19 13:13:44.761385]; Init ; COM port could not be opened, no UART communication available! ; 
[2016-05-19 13:13:44.777009]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-19 13:13:44.777009]; buildUI ; ; 
[2016-05-19 13:13:44.902046]; main ; Main application started ; 
[2016-05-19 13:13:44.902046]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 13:13:44.902046]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 13:13:44.917631]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 13:13:50.449358]; PushCmd ; inData ; bytearray(b'\xa5\x021H{Z')
[2016-05-19 13:13:50.464984]; PushCmd ; inData ; bytearray(b'\xa5\x022:\nZ')
[2016-05-19 13:13:50.464984]; PushCmd ; inData ; bytearray(b'\xa5\x021IzZ')
[2016-05-19 13:13:50.480602]; PushCmd ; inData ; bytearray(b'\xa5\x022:\nZ')
[2016-05-19 13:13:50.496227]; PushCmd ; inData ; bytearray(b'\xa5\x021KxZ')
[2016-05-19 13:13:50.496227]; PushCmd ; inData ; bytearray(b'\xa5\x0229\tZ')
[2016-05-19 13:13:50.511851]; PushCmd ; inData ; bytearray(b'\xa5\x021M~Z')
[2016-05-19 13:13:50.511851]; PushCmd ; inData ; bytearray(b'\xa5\x0228\x08Z')
[2016-05-19 13:13:50.527476]; PushCmd ; inData ; bytearray(b'\xa5\x021N}Z')
[2016-05-19 13:13:50.527476]; PushCmd ; inData ; bytearray(b'\xa5\x0228\x08Z')
[2016-05-19 13:13:50.543120]; PushCmd ; inData ; bytearray(b'\xa5\x021PcZ')
[2016-05-19 13:13:50.543120]; PushCmd ; inData ; bytearray(b'\xa5\x0227\x07Z')
[2016-05-19 13:13:50.543120]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 13:13:50.543120]; PushCmd ; inData ; bytearray(b'\xa5\x0227\x07Z')
[2016-05-19 13:13:50.558725]; PushCmd ; inData ; bytearray(b'\xa5\x021RaZ')
[2016-05-19 13:13:50.558725]; PushCmd ; inData ; bytearray(b'\xa5\x0227\x07Z')
[2016-05-19 13:13:50.574351]; PushCmd ; inData ; bytearray(b'\xa5\x021RaZ')
[2016-05-19 13:13:50.574351]; PushCmd ; inData ; bytearray(b'\xa5\x0227\x07Z')
[2016-05-19 13:13:50.581450]; PushCmd ; inData ; bytearray(b'\xa5\x021S`Z')
[2016-05-19 13:13:50.584032]; PushCmd ; inData ; bytearray(b'\xa5\x0227\x07Z')
[2016-05-19 13:13:50.584032]; PushCmd ; inData ; bytearray(b'\xa5\x021TgZ')
[2016-05-19 13:13:50.584032]; PushCmd ; inData ; bytearray(b'\xa5\x0226\x06Z')
[2016-05-19 13:13:50.599662]; PushCmd ; inData ; bytearray(b'\xa5\x021UfZ')
[2016-05-19 13:13:50.599662]; PushCmd ; inData ; bytearray(b'\xa5\x0226\x06Z')
[2016-05-19 13:13:50.615320]; PushCmd ; inData ; bytearray(b'\xa5\x021UfZ')
[2016-05-19 13:13:50.615320]; PushCmd ; inData ; bytearray(b'\xa5\x0226\x06Z')
[2016-05-19 13:13:50.646536]; PushCmd ; inData ; bytearray(b'\xa5\x021VeZ')
[2016-05-19 13:13:50.646536]; PushCmd ; inData ; bytearray(b'\xa5\x0226\x06Z')
[2016-05-19 13:13:50.662216]; PushCmd ; inData ; bytearray(b'\xa5\x021VeZ')
[2016-05-19 13:13:50.662216]; PushCmd ; inData ; bytearray(b'\xa5\x0225\x05Z')
[2016-05-19 13:13:50.677815]; PushCmd ; inData ; bytearray(b'\xa5\x021WdZ')
[2016-05-19 13:13:50.677815]; PushCmd ; inData ; bytearray(b'\xa5\x0225\x05Z')
[2016-05-19 13:13:50.802822]; PushCmd ; inData ; bytearray(b'\xa5\x021WdZ')
[2016-05-19 13:13:50.818441]; PushCmd ; inData ; bytearray(b'\xa5\x0225\x05Z')
[2016-05-19 13:13:50.834037]; PushCmd ; inData ; bytearray(b'\xa5\x021VeZ')
[2016-05-19 13:13:50.834037]; PushCmd ; inData ; bytearray(b'\xa5\x0223\x03Z')
[2016-05-19 13:13:50.849662]; PushCmd ; inData ; bytearray(b'\xa5\x021S`Z')
[2016-05-19 13:13:50.849662]; PushCmd ; inData ; bytearray(b'\xa5\x0222\x02Z')
[2016-05-19 13:13:50.865285]; PushCmd ; inData ; bytearray(b'\xa5\x021QbZ')
[2016-05-19 13:13:50.865285]; PushCmd ; inData ; bytearray(b'\xa5\x0222\x02Z')
[2016-05-19 13:13:50.880910]; PushCmd ; inData ; bytearray(b'\xa5\x021M~Z')
[2016-05-19 13:13:50.880910]; PushCmd ; inData ; bytearray(b'\xa5\x0221\x01Z')
[2016-05-19 13:13:50.880910]; PushCmd ; inData ; bytearray(b'\xa5\x021KxZ')
[2016-05-19 13:13:50.880910]; PushCmd ; inData ; bytearray(b'\xa5\x0220\x00Z')
[2016-05-19 13:13:50.896535]; PushCmd ; inData ; bytearray(b'\xa5\x021IzZ')
[2016-05-19 13:13:50.896535]; PushCmd ; inData ; bytearray(b'\xa5\x022/\x1fZ')
[2016-05-19 13:13:50.896535]; PushCmd ; inData ; bytearray(b'\xa5\x021H{Z')
[2016-05-19 13:13:50.912160]; PushCmd ; inData ; bytearray(b'\xa5\x022/\x1fZ')
[2016-05-19 13:13:50.912160]; PushCmd ; inData ; bytearray(b'\xa5\x021GtZ')
[2016-05-19 13:13:50.912160]; PushCmd ; inData ; bytearray(b'\xa5\x022.\x1eZ')
[2016-05-19 13:13:50.927785]; PushCmd ; inData ; bytearray(b'\xa5\x021FuZ')
[2016-05-19 13:13:50.927785]; PushCmd ; inData ; bytearray(b'\xa5\x022-\x1dZ')
[2016-05-19 13:13:50.927785]; PushCmd ; inData ; bytearray(b'\xa5\x021EvZ')
[2016-05-19 13:13:50.927785]; PushCmd ; inData ; bytearray(b'\xa5\x022-\x1dZ')
[2016-05-19 13:13:50.943420]; PushCmd ; inData ; bytearray(b'\xa5\x021DwZ')
[2016-05-19 13:13:50.943420]; PushCmd ; inData ; bytearray(b'\xa5\x022-\x1dZ')
[2016-05-19 13:13:50.943420]; PushCmd ; inData ; bytearray(b'\xa5\x021DwZ')
[2016-05-19 13:13:50.959035]; PushCmd ; inData ; bytearray(b'\xa5\x022-\x1dZ')
[2016-05-19 13:13:50.974717]; PushCmd ; inData ; bytearray(b'\xa5\x021CpZ')
